Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-085211,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.9986128528340783,-5.705437660217285,0.9999999,7.203803e-08,0.006919174
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-110000,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1310,0.9992483456986135,-5.233897686004639,0.9999999,3.444476e-08,0.006729574
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-102802,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1310,0.9974084578352908,-5.642453193664551,0.9999999,3.536833e-08,0.00634805
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-133930,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1310,0.9993208662392,-6.260358810424805,0.9999999,6.346043e-08,0.006409498
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-144325,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1310,0.9992393605839338,-5.628704071044922,0.9999999,3.94475e-08,0.006442896
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-141126,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1310,0.9989789157832634,-5.873229503631592,0.9999999,5.300257e-08,0.006356055
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120046,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1550,0.996534075760128,-8.444914128415956,0.9999999,1.080882e-12,0.005356431
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120228,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1550,0.9967703350411039,-9.213680948763646,0.9999999,4.894235e-10,0.004992432
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121941,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1550,0.9965830872335206,-9.861534733650439,0.9999999,2.689357e-10,0.005288172
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121111,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1550,0.9952367601766043,-8.68563055024164,0.9999999,5.6015e-10,0.004806489
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120730,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1550,0.9967453917603503,-9.050265626127075,0.9999999,2.785752e-10,0.005238293
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-122113,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1550,0.9959696975522104,-9.947949007274541,0.9999999,1.991348e-09,0.00534096
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120901,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1550,0.9949078481992152,-8.988276488796929,0.9999999,2.718284e-09,0.005056953
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121244,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1550,0.9955340896554247,-10.177454350325856,0.9999999,2.07831e-09,0.004971176
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-115915,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1550,0.997569970653211,-9.18358306058825,0.9999999,5.754345e-12,0.005455126
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120553,process LMZ,3.600000000000002,B1,magdzi83,0,2,0,No Error,1550,0.9959497187133078,-8.278760104532308,0.9999999,7.961963e-11,0.005282801
